Style Name,Vendor Name,Family Name,Embedding Vector,Feature Vector,Anchor Embedding,Pair Embedding
Iwata Kyokasyo Pro Extrabold,IWATA,Iwata Kyokasyo Pro,"[0.075408, 0.047395, 0.231045, 0.069324, 0.133161, 0.12648, 0.079264, 0.129107, 0.205073, 0.03255, 0.063001, 0.187273, 0.271906, 0.306062, 0.276949, 0.367688, 0.124791, 0.180044, 0.235373, 0.227457, 0.019076, 0.496914, 0.076282, 0.0855]","[0.44250406, 0.45678541, 0.48277879, 0.58357658, 0.24874976, 0.2477291, 0.26277375, 0.22899555, 0.17442228, 0.43403728, 0.1625449, 18.44444444, 16.66666667, 0.21173214, 0.66517556, 1579.0, 2493241.0, 0.0, 51.0, 0.70588235, 0.20399702, 0.02524383, 0.0, 0.0, 36.0, 6.47869281, 0.36077266, 0.32084391, 1.06519139, 1.31730087, 1.0, 0.13023877, 1.0, 0.29203156, 0.0897076, 1.0, 0.0, 3.0, 0.70588235, 0.79960198, 0.00018749, 0.0, 0.10842637, 0.05555556, 0.0, 0.5, 0.375, 0.15794393, 0.18368902, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.05071714, 1.177446, 5.0, 3.0]","[0.158631, -0.957296, 0.0, -0.534448, 0.069088, 0.908255, -0.882265, 0.237857, -0.911208, 0.655579, 0.969795, 0.37269, -0.637599, -0.922206, 0.873361, 0.598703]","[-0.446235, 0.150784, 0.0, 0.472507, -0.47479, -0.052398, 0.081021, 0.284867, 0.113926, -0.54818, -0.116475, -0.551028, 0.468716, 0.094061, -0.133593, -0.490351]"
Heisei Kaku Gothic W9,Adobe,Heisei Kaku Gothic,"[0.278048, 0.070464, 0.273673, 0.054308, 0.083363, 0.10818, 0.029126, 0.264778, 0.249947, 0.036798, 0.401608, 0.134927, 0.193093, 0.145295, 0.251365, 0.261736, 0.17334, 0.120893, 0.227743, 0.361073, 0.055624, 0.282992, 0.082315, -0.002237]","[0.5898377, 0.46179764, 0.48685735, 0.56021011, 0.23572611, 0.25061065, 0.18783632, 0.30615276, 0.10850631, 0.48707732, 0.09826361, 16.22222222, 12.66666667, 0.21803195, 0.52968488, 1675.0, 2805625.0, 0.0, 55.0, 0.7364418, 0.13603098, 0.04200534, 0.0, 0.0, 40.5, 12.74901961, 0.47647868, 0.51556255, 1.57512483, 1.16397034, 1.0, 0.17486236, 1.0, 0.2645791, 0.04605754, 1.0, 2.0, 1.0, 0.74175824, 0.88144074, 0.00107809, 0.0, 0.02402355, 0.14814815, 0.0, 0.5, 0.0, 0.15271132, 0.17150226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00732601, 0.0, 0.0, 1.496985, 8.0, 5.0]","[0.511862, -0.95385, 0.0, -0.746142, 0.464499, 0.887946, -0.918998, -0.075153, -0.915975, 0.763753, 0.904182, 0.564344, -0.69965, -0.930157, 0.957636, 0.648545]","[0.010166, 0.029792, 0.0, 0.004399, 0.017036, -0.053262, 0.024922, -0.026477, 0.063945, -0.047572, -0.093992, -0.014009, 0.014697, 0.083852, -0.04432, -0.011309]"
Iwata Gyousho Std Medium,IWATA,Iwata Gyousho Std,"[0.051604, 0.051033, 0.175032, 0.083842, 0.089151, 0.206937, 0.006612, 0.157424, 0.199162, 0.040978, 0.025612, 0.313087, 0.35816, 0.31627, 0.089425, 0.448039, 0.088737, 0.23333, 0.101783, 0.06747, 0.03146, 0.405631, 0.121416, 0.216581]","[0.37089199, 0.44285524, 0.47808648, 0.56367168, 0.23181057, 0.24651118, 0.32294738, 0.20270694, 0.26110071, 0.39852536, 0.13766699, 19.11111111, 16.55555556, 0.16173156, 0.39148978, 1679.0, 2819041.0, 0.0, 50.0, 0.74, 0.29314212, 0.04021958, 4.0, 0.0, 37.0, 7.4875817, 0.27450792, 0.28299569, 1.07480961, 0.46155915, 1.0, 0.05249064, 1.0, 0.32345873, 0.07806396, 1.0, -18.0, 2.0, 0.71705426, 0.79670703, 0.01939601, 1.6, 0.19091772, 0.27027027, -16.69924425, 0.50684932, 0.525, 0.14947552, 0.10912698, 0.0, 0.0, 0.78539816, 0.0, 0.0, 0.89605538, 0.96899225, 0.0, 0.02641082, 1.671402, 5.0, 2.0]","[0.320504, -0.691728, 0.0, -0.569817, 0.312797, 0.691356, -0.60556, -0.009029, -0.610015, 0.716289, 0.820248, 0.556797, -0.649347, -0.672087, 0.569261, 0.61789]","[-0.194608, 0.548337, 0.0, 0.337579, -0.176197, -0.408207, 0.459021, -0.032944, 0.50055, -0.399827, -0.51196, -0.274258, 0.337643, 0.472164, -0.52324, -0.319775]"
Heisei Maru Gothic W8,Adobe,Heisei Maru Gothic,"[0.212363, 0.072062, 0.286321, 0.053432, 0.032508, 0.138562, 0.076953, 0.178171, 0.328735, 0.038497, 0.443364, 0.127592, 0.264152, 0.203008, 0.168406, 0.350886, 0.188848, 0.132991, 0.174843, 0.288996, 0.042675, 0.216208, 0.077841, -0.00399]","[0.58713825, 0.46414974, 0.48435528, 0.55778001, 0.23791381, 0.24496421, 0.25891787, 0.24614991, 0.16416491, 0.43362245, 0.15606273, 18.44444444, 13.44444444, 0.23004033, 0.50329031, 1835.0, 3367225.0, 0.0, 57.5, 0.74788264, 0.16521036, 0.03175762, 0.0, 0.0, 43.0, 13.82745098, 0.47245274, 0.4974457, 1.45402062, 0.88555787, 1.0, 0.18401896, 1.0, 0.29424109, 0.00645161, 1.0, 0.0, 1.0, 0.76512456, 0.89787639, 0.00196864, 0.0, 0.13523731, 0.09302326, 0.0, 0.47777778, 0.44444444, 0.17295597, 0.16798306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.02313167, 0.0, 0.0, 1.508973, 8.0, 5.0]","[-0.129623, -0.20413, 0.0, 0.090864, -0.186105, 0.074174, 0.170792, 0.143539, 0.054225, -0.085136, 0.257122, -0.129873, 0.033969, -0.083215, -0.240417, 0.014781]","[-0.197478, 0.580931, 0.0, 0.330311, -0.154792, -0.497375, 0.508538, -0.059556, 0.559895, -0.395989, -0.599418, -0.252838, 0.342357, 0.543313, -0.567199, -0.325532]"
Iwata Maru Gothic Pro Bold,IWATA,Iwata Maru Gothic Pro,"[0.139161, 0.044359, 0.247193, 0.06632, 0.056202, 0.135244, 0.112503, 0.145461, 0.297501, 0.033386, 0.236692, 0.159033, 0.305839, 0.248497, 0.239142, 0.375223, 0.177469, 0.161155, 0.192509, 0.241383, 0.011539, 0.420978, 0.059515, -0.001671]","[0.50294263, 0.46047663, 0.48121816, 0.56209253, 0.24270925, 0.24386845, 0.28104683, 0.24152395, 0.18114782, 0.39582355, 0.18150467, 16.77777778, 16.88888889, 0.21949916, 0.5274232, 1768.0, 3125824.0, 0.0, 56.0, 0.73214286, 0.2032627, 0.02517774, 0.0, 0.0, 41.0, 9.14248366, 0.40227027, 0.39337443, 1.07909854, 1.20448077, 1.0, 0.19881417, 1.0, 0.31148246, 0.04035714, 1.0, 0.0, 3.0, 0.73214286, 0.86224626, 0.00158293, 0.0, 0.12822364, 0.04878049, 0.0, 0.4939759, 0.55769231, 0.16317486, 0.15019182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.084196, 7.0, 5.0]","[-0.204178, -0.25026, 0.0, 0.165537, -0.259972, 0.092781, 0.106315, 0.234372, 0.000855, -0.168025, 0.346521, -0.211926, 0.133554, -0.123427, -0.14995, -0.080876]","[-0.187997, 0.137999, 0.0, 0.187155, -0.184222, -0.103305, 0.098049, 0.09741, 0.102859, -0.201826, -0.154258, -0.202922, 0.192756, 0.093154, -0.118856, -0.203512]"
Iwata Kaisho Std Medium,IWATA,Iwata Kaisho Std,"[0.035252, 0.06223, 0.292029, 0.056246, 0.165156, 0.175609, 0.101806, 0.313868, 0.15534, 0.038956, 0.077983, 0.163743, 0.048711, 0.3137, 0.269935, 0.207557, 0.062793, 0.161236, 0.218974, 0.121067, 0.053957, 0.444409, 0.268101, 0.315192]","[0.25623434, 0.46155831, 0.4967377, 0.52530699, 0.22384012, 0.27280803, 0.25044734, 0.3284562, 0.16903803, 0.34344886, 0.1590569, 18.88888889, 18.44444444, 0.14033217, 0.31639693, 1434.0, 2056356.0, 1.85714286, 46.0, 0.67391304, 0.18745129, 0.03019293, 0.0, 0.0, 31.0, 4.61176471, 0.14776345, 0.23424628, 2.7780083, 0.20197711, 1.0, 0.01750679, 1.0, 0.29191272, 0.26748837, 1.0, -1.0, 3.0, 0.67391304, 0.69281455, 0.00436529, 0.0, 0.14488194, 0.29032258, 0.0, 0.5, 0.42857143, 0.19777778, 0.2578976, 4.66973005, 0.76812851, 0.20749623, 0.01914554, 0.1435317, 0.60005021, 1.0, 0.3754902, 0.05021755, 2.702549, 4.0, 1.0]","[0.151918, -0.703748, 0.0, -0.273121, 0.103077, 0.569565, -0.625765, 0.078668, -0.658918, 0.308738, 0.676365, 0.217106, -0.286296, -0.652118, 0.649823, 0.270165]","[0.106991, -0.257031, 0.0, -0.157436, 0.113428, 0.197191, -0.248564, -0.027179, -0.254218, 0.152669, 0.198669, 0.138554, -0.146928, -0.230374, 0.264954, 0.136241]"
Iwata Kyokasyo Std Bold,IWATA,Iwata Kyokasyo Std,"[0.075912, 0.056192, 0.212494, 0.065328, 0.163673, 0.133916, 0.108533, 0.170861, 0.185636, 0.040657, 0.041556, 0.179976, 0.240368, 0.275529, 0.273895, 0.351367, 0.101305, 0.165992, 0.259499, 0.233119, 0.029612, 0.48057, 0.171274, 0.181387]","[0.41294866, 0.45345306, 0.48086486, 0.58953948, 0.25166602, 0.24969022, 0.25734765, 0.22514869, 0.17187901, 0.44576841, 0.15720389, 18.44444444, 16.44444444, 0.20590278, 0.7342731, 1550.0, 2402500.0, 0.0, 51.0, 0.70588235, 0.17524241, 0.02238267, 0.0, 0.0, 36.0, 5.7504902, 0.35518059, 0.29306803, 1.09004093, 1.54010518, 1.0, 0.10586283, 1.0, 0.29534978, 0.09215398, 1.0, 0.0, 3.0, 0.70588235, 0.83384835, 0.00069612, 0.0, 0.08065984, 0.05555556, 0.0, 0.50704225, 0.20689655, 0.1618277, 0.20150268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.04821662, 1.197739, 4.0, 3.0]","[0.182704, -0.93986, 0.0, -0.537099, 0.10077, 0.875332, -0.849402, 0.183959, -0.880994, 0.636415, 0.951392, 0.343371, -0.618813, -0.897119, 0.838779, 0.57501]","[-0.486956, -0.055061, 0.0, 0.47166, -0.526967, 0.106898, -0.088195, 0.363695, -0.076776, -0.543063, 0.081155, -0.592189, 0.469389, -0.076663, 0.063436, -0.501267]"
Heisei Mincho W9,Adobe,Heisei Mincho,"[0.140249, 0.045887, 0.314963, 0.068117, 0.269873, 0.194723, 0.058874, 0.315752, 0.204727, 0.040027, 0.229887, 0.18426, 0.049415, 0.231714, 0.291094, 0.328914, 0.176758, 0.163523, 0.254373, 0.122941, 0.042732, 0.361282, 0.104603, 0.002231]","[0.42456486, 0.46190406, 0.49236506, 0.55271408, 0.21933032, 0.25972166, 0.23147215, 0.29756425, 0.13794961, 0.43333676, 0.13114938, 19.55555556, 14.33333333, 0.16912481, 0.43299877, 1535.0, 2356225.0, 1.0, 52.5, 0.68559507, 0.11183526, 0.04599964, 0.0, 0.0, 36.0, 9.58039216, 0.29094625, 0.39351394, 2.55490196, 0.36155691, 1.0, 0.04556203, 1.0, 0.27080813, 0.14219467, 1.0, -1.0, 3.0, 0.67924528, 0.83353858, 0.00169828, 0.0, 0.10318882, 0.25, 0.0, 0.49333333, 0.5, 0.15694076, 0.25045094, 3.69589461, 1.15133199, 0.18534795, 0.0132495, 0.11642369, 0.51238946, 0.99056604, 0.43050109, 0.02762858, 2.690794, 6.0, 2.0]","[0.154525, -0.830619, 0.0, -0.298263, 0.130666, 0.668987, -0.731425, 0.074334, -0.742488, 0.338776, 0.775139, 0.16752, -0.27028, -0.751309, 0.826482, 0.256679]","[-0.060313, -0.337237, 0.0, -0.035817, -0.069267, 0.359691, -0.395049, 0.061475, -0.34651, 3e-06, 0.288063, -0.042978, -0.025917, -0.392776, 0.373587, -0.018948]"
Iwata Maru Gothic Std Bold,IWATA,Iwata Maru Gothic Std,"[0.139161, 0.044359, 0.247193, 0.06632, 0.056202, 0.135244, 0.112503, 0.145461, 0.297501, 0.033386, 0.236692, 0.159033, 0.305839, 0.248497, 0.239142, 0.375223, 0.177469, 0.161155, 0.192509, 0.241383, 0.011539, 0.420978, 0.059515, -0.001671]","[0.50294263, 0.46047663, 0.48121816, 0.56209253, 0.24270925, 0.24386845, 0.28104683, 0.24152395, 0.18114782, 0.39582355, 0.18150467, 16.77777778, 16.88888889, 0.21949916, 0.5274232, 1768.0, 3125824.0, 0.0, 56.0, 0.73214286, 0.2032627, 0.02517774, 0.0, 0.0, 41.0, 9.14248366, 0.40227027, 0.39337443, 1.07909854, 1.20448077, 1.0, 0.19881417, 1.0, 0.31148246, 0.04035714, 1.0, 0.0, 3.0, 0.73214286, 0.86224626, 0.00158293, 0.0, 0.12822364, 0.04878049, 0.0, 0.4939759, 0.55769231, 0.16317486, 0.15019182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.084196, 7.0, 5.0]","[-0.204178, -0.25026, 0.0, 0.165537, -0.259972, 0.092781, 0.106315, 0.234372, 0.000855, -0.168025, 0.346521, -0.211926, 0.133554, -0.123427, -0.14995, -0.080876]","[-0.187997, 0.137999, 0.0, 0.187155, -0.184222, -0.103305, 0.098049, 0.09741, 0.102859, -0.201826, -0.154258, -0.202922, 0.192756, 0.093154, -0.118856, -0.203512]"
Iwata Fuku Marugo StdN Extrabold,IWATA,Iwata Fuku Marugo,"[0.191697, 0.064964, 0.192186, 0.054818, 0.025244, 0.178806, 0.029711, 0.237919, 0.341826, 0.045128, 0.403327, 0.166542, 0.289692, 0.248252, 0.20574, 0.425528, 0.215285, 0.129294, 0.202328, 0.15917, 0.015052, 0.119231, 0.083335, -0.005095]","[0.56471656, 0.46533818, 0.48674955, 0.56108945, 0.23302248, 0.24329876, 0.28192358, 0.25380336, 0.17138638, 0.42106538, 0.15374488, 17.44444444, 14.77777778, 0.22750015, 0.51097698, 1666.0, 2775556.0, 0.0, 60.5, 0.64467213, 0.11866063, 0.03542031, 0.0, 0.0, 39.0, 13.04761905, 0.4160358, 0.49584884, 1.04112286, 0.80138688, 1.0, 0.23925462, 1.0, 0.30303475, 0.03080587, 1.0, 0.0, 3.0, 0.65436242, 0.8829198, 0.00329206, 0.0, 0.18102218, 0.1025641, -6.34019175, 0.49367089, 0.46296296, 0.19043948, 0.14861111, 4.9795207, 0.83437286, 1.14416883, 0.01443499, 0.00342448, 1.40006112, 1.01510067, 0.0, 0.0, 1.274111, 9.0, 6.0]","[-0.125889, -0.754794, 0.0, 0.033296, -0.162303, 0.535309, -0.352585, 0.174489, -0.447711, -0.102683, 0.69474, -0.18264, -0.003754, -0.600095, 0.441873, -0.012076]","[-0.200653, 0.439419, 0.0, 0.261932, -0.173055, -0.301921, 0.340128, -0.014051, 0.366076, -0.269477, -0.414498, -0.206678, 0.267852, 0.309729, -0.392303, -0.271728]"
Heisei Kaku Gothic W3,Adobe,Heisei Kaku Gothic,"[0.140411, 0.064778, 0.198983, 0.058167, 0.17969, 0.118414, 0.124681, 0.233552, 0.157011, 0.04209, 0.055027, 0.170814, 0.209434, 0.167959, 0.29801, 0.296236, 0.081621, 0.152219, 0.259059, 0.278829, 0.043001, 0.485031, 0.207086, 0.234014]","[0.36014764, 0.4450888, 0.48462352, 0.59122896, 0.25510721, 0.26239844, 0.2185173, 0.25366572, 0.1347958, 0.48773789, 0.12380059, 18.22222222, 16.44444444, 0.17486511, 0.70098838, 1512.0, 2286144.0, 0.0, 55.0, 0.7364418, 0.1546121, 0.0311296, 0.0, 0.0, 40.5, 6.04705882, 0.34700665, 0.29489618, 1.43633126, 1.63161475, 1.0, 0.05757434, 1.0, 0.27109187, 0.08889417, 1.0, 0.0, 1.0, 0.74175824, 0.7701766, 0.0034476, 0.0, 0.02348003, 0.24691358, 0.0, 0.53164557, 0.0, 0.18928263, 0.28430724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00732601, 0.0, 0.0, 1.639694, 4.0, 2.0]","[0.677381, -0.700416, 0.0, -0.806476, 0.676016, 0.569212, -0.639596, -0.328632, -0.627104, 0.88261, 0.686179, 0.807807, -0.799141, -0.647605, 0.75094, 0.796594]","[0.042664, -0.256068, 0.0, -0.077648, 0.027234, 0.218508, -0.208089, 0.033466, -0.213454, 0.08226, 0.285695, 0.037144, -0.085752, -0.228487, 0.22604, 0.078499]"
Iwata Kyokasyo Pro Light,IWATA,Iwata Kyokasyo Pro,"[0.089568, 0.066232, 0.194569, 0.055674, 0.047993, 0.150562, 0.106055, 0.182575, 0.140772, 0.041233, 0.082907, 0.144124, 0.199937, 0.255159, 0.266846, 0.245683, 0.073986, 0.138271, 0.267984, 0.269963, 0.044896, 0.441065, 0.271947, 0.389194]","[0.30894083, 0.44613073, 0.48019697, 0.59524508, 0.25957847, 0.25728404, 0.24970124, 0.23475823, 0.16498236, 0.46160458, 0.13865484, 18.33333333, 18.22222222, 0.17383329, 0.83216731, 1469.0, 2157961.0, 0.0, 48.0, 0.72916667, 0.16040638, 0.01791553, 0.0, 0.0, 35.0, 3.74313725, 0.28566331, 0.20864141, 1.06666667, 1.81115367, 1.0, 0.05014363, 1.0, 0.29578329, 0.10704317, 1.0, 0.0, 3.0, 0.72916667, 0.74513132, 0.00035103, 0.0, 0.04704154, 0.11428571, 0.0, 0.51470588, 0.1, 0.17121212, 0.25638158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.03814617, 1.486695, 3.0, 2.0]","[0.387837, -0.841026, 0.0, -0.628646, 0.343615, 0.731372, -0.702552, -0.04432, -0.755608, 0.691889, 0.831431, 0.537506, -0.651639, -0.775217, 0.650164, 0.650727]","[-0.302, -0.162746, 0.0, 0.259283, -0.330943, 0.162095, -0.158697, 0.245415, -0.163612, -0.301183, 0.165649, -0.361483, 0.258091, -0.167302, 0.154993, -0.28942]"
