Style Name,Vendor Name,Family Name,Embedding Vector,Feature Vector,Anchor Embedding,Pair Embedding
Iwata Maru Gothic Std Medium,IWATA,Iwata Maru Gothic Std,"[0.057266, 0.05814, 0.195433, 0.065081, 0.17116, 0.130047, 0.130442, 0.150677, 0.232854, 0.040799, 0.037751, 0.17325, 0.260483, 0.226797, 0.276545, 0.300904, 0.110398, 0.163248, 0.239113, 0.212006, 0.030147, 0.53652, 0.158835, 0.190786]","[0.38316778, 0.45118838, 0.47935037, 0.58297051, 0.25185718, 0.25253864, 0.26697981, 0.22928728, 0.16651969, 0.43382145, 0.17037158, 17.11111111, 18.44444444, 0.18999094, 0.62733959, 1652.0, 2729104.0, 0.0, 56.0, 0.73214286, 0.18581787, 0.01893131, 0.0, 0.0, 41.0, 5.96862745, 0.34985422, 0.28697768, 1.11916046, 1.27432918, 1.0, 0.08778364, 1.0, 0.30519977, 0.1012219, 1.0, 0.0, 3.0, 0.73214286, 0.79110664, 0.00039886, 0.0, 0.08382552, 0.07317073, 0.0, 0.5125, 0.5, 0.17519514, 0.23424701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.180149, 5.0, 3.0]","[0.142461, -0.745662, 0.0, -0.33107, 0.077128, 0.552085, -0.475574, 0.083043, -0.542639, 0.382064, 0.747774, 0.216434, -0.376632, -0.616159, 0.51151, 0.386875]","[-0.377092, 0.093333, 0.0, 0.373774, -0.396946, -0.042703, 0.056018, 0.248435, 0.055066, -0.415696, -0.078481, -0.447692, 0.374923, 0.050665, -0.075678, -0.397034]"
Heisei Kaku Gothic W7,Adobe,Heisei Kaku Gothic,"[0.253854, 0.051933, 0.285065, 0.058306, 0.151092, 0.105421, 0.039239, 0.257534, 0.216475, 0.035927, 0.295245, 0.160714, 0.1903, 0.145142, 0.266946, 0.299045, 0.162167, 0.137991, 0.245097, 0.363674, 0.044464, 0.349453, 0.074214, -0.000989]","[0.52672033, 0.456841, 0.48602207, 0.56894322, 0.24117594, 0.25335842, 0.19706901, 0.28778685, 0.11435721, 0.48944647, 0.10840946, 17.11111111, 13.55555556, 0.20979813, 0.56920823, 1586.0, 2515396.0, 0.0, 55.0, 0.7364418, 0.16626117, 0.0342924, 0.0, 0.0, 40.5, 10.79607843, 0.4351918, 0.47566455, 1.49973643, 1.19048249, 1.0, 0.1395517, 1.0, 0.26210958, 0.05302092, 1.0, 2.0, 1.0, 0.74175824, 0.86004554, 0.00137873, 0.0, 0.02284351, 0.17283951, 0.0, 0.5, 0.0, 0.16827528, 0.20076378, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00732601, 0.0, 0.0, 1.754838, 7.0, 4.0]","[0.464073, -0.971042, 0.0, -0.747155, 0.40284, 0.927518, -0.949843, 0.012076, -0.948579, 0.775904, 0.944818, 0.532933, -0.704523, -0.954781, 0.976317, 0.645645]","[-0.018105, -0.140439, 0.0, -0.003892, -0.023209, 0.091447, -0.12372, 0.034987, -0.096647, -0.036411, 0.080144, -0.043532, 0.005009, -0.075146, 0.12107, -0.012569]"
Heisei Maru Gothic W4,Adobe,Heisei Maru Gothic,"[0.100382, 0.056728, 0.221606, 0.065241, 0.210092, 0.12508, 0.128397, 0.173977, 0.200137, 0.039653, 0.057776, 0.188711, 0.260597, 0.205044, 0.259063, 0.389143, 0.129375, 0.174575, 0.206569, 0.219543, 0.024151, 0.497705, 0.1382, 0.110676]","[0.42229031, 0.45068397, 0.48224615, 0.5979862, 0.24961227, 0.25448398, 0.2471296, 0.21656165, 0.15807124, 0.48273115, 0.14263596, 19.11111111, 16.66666667, 0.19924646, 0.66168871, 1621.0, 2627641.0, 0.0, 55.5, 0.75681818, 0.15911352, 0.02661878, 0.0, 0.0, 42.0, 7.28235294, 0.3990768, 0.32394719, 1.30411687, 1.26709101, 1.0, 0.08337071, 1.0, 0.28287661, 0.06280042, 1.0, 0.0, 1.0, 0.76086957, 0.8191338, 0.0, 0.0, 0.10586973, 0.16666667, 0.0, 0.51807229, 0.52631579, 0.1590106, 0.23952206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00543478, 0.0, 0.0, 1.209561, 5.0, 3.0]","[0.266045, -0.866333, 0.0, -0.57613, 0.18212, 0.827925, -0.795419, 0.07588, -0.821732, 0.632997, 0.880023, 0.419467, -0.635042, -0.840086, 0.811851, 0.568025]","[-0.203863, 0.069159, 0.0, 0.227077, -0.213738, -0.040646, 0.058665, 0.117848, 0.082136, -0.284509, -0.061002, -0.265143, 0.227424, 0.079005, -0.092689, -0.234791]"
Iwata Maru Gothic Pro Demibold,IWATA,Iwata Maru Gothic Pro,"[0.093619, 0.046708, 0.2478, 0.06813, 0.117965, 0.126691, 0.120182, 0.141694, 0.280009, 0.033375, 0.132259, 0.178831, 0.295798, 0.251981, 0.25642, 0.347712, 0.163228, 0.171367, 0.212762, 0.236892, 0.017812, 0.480776, 0.053547, 0.012519]","[0.45563345, 0.45708863, 0.48027441, 0.56619622, 0.24562067, 0.24709223, 0.27791842, 0.23764489, 0.18146881, 0.39843805, 0.18244825, 16.88888889, 17.44444444, 0.20971496, 0.54553463, 1743.0, 3038049.0, 0.0, 56.0, 0.73214286, 0.19727311, 0.022175, 0.0, 0.0, 41.0, 7.92331155, 0.3796558, 0.35432947, 1.09521385, 1.16726566, 1.0, 0.14856152, 1.0, 0.31255107, 0.09169622, 1.0, 0.0, 3.0, 0.73214286, 0.82114317, 0.00130803, 0.0, 0.11753711, 0.07317073, 0.0, 0.4939759, 0.52083333, 0.16966476, 0.18137612, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.204095, 6.0, 4.0]","[-0.116776, -0.671611, 0.0, -0.063091, -0.185546, 0.537547, -0.386469, 0.244643, -0.465526, 0.080963, 0.719001, -0.081556, -0.112263, -0.570359, 0.424401, 0.104328]","[-0.260691, 0.150536, 0.0, 0.261563, -0.262683, -0.104652, 0.105881, 0.145764, 0.109495, -0.285315, -0.157417, -0.292956, 0.266145, 0.098498, -0.129005, -0.281203]"
Iwata Kyokasyo Std Extrabold,IWATA,Iwata Kyokasyo Std,"[0.075425, 0.047396, 0.231092, 0.06932, 0.133136, 0.126479, 0.079231, 0.129115, 0.205072, 0.032545, 0.06298, 0.187285, 0.271953, 0.306074, 0.276913, 0.367767, 0.124787, 0.180062, 0.235322, 0.227434, 0.019063, 0.496865, 0.076263, 0.085478]","[0.44250501, 0.45678135, 0.48278312, 0.58357658, 0.24875343, 0.24772825, 0.26277375, 0.229042, 0.17442228, 0.43403728, 0.16249845, 18.44444444, 16.66666667, 0.21173438, 0.66517173, 1579.0, 2493241.0, 0.0, 51.0, 0.70588235, 0.20425975, 0.02524383, 0.0, 0.0, 36.0, 6.47869281, 0.36077266, 0.32084839, 1.06519139, 1.31731807, 1.0, 0.13023877, 1.0, 0.29203156, 0.0897076, 1.0, 0.0, 3.0, 0.70588235, 0.79960198, 0.00018753, 0.0, 0.10842637, 0.05555556, 0.0, 0.5, 0.375, 0.15794393, 0.18368902, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.05071714, 1.176811, 5.0, 3.0]","[0.158688, -0.957297, 0.0, -0.534461, 0.06915, 0.908236, -0.882268, 0.237876, -0.911213, 0.655626, 0.969796, 0.372773, -0.637602, -0.922198, 0.873333, 0.59874]","[-0.446183, 0.150882, 0.0, 0.472477, -0.47473, -0.052465, 0.08109, 0.284796, 0.114015, -0.548153, -0.116572, -0.55097, 0.468683, 0.09412, -0.133682, -0.490315]"
Iwata Kyokasyo Pro Bold,IWATA,Iwata Kyokasyo Pro,"[0.076123, 0.056184, 0.212483, 0.065333, 0.163343, 0.133887, 0.108854, 0.17102, 0.185699, 0.040629, 0.041564, 0.179874, 0.240298, 0.275248, 0.27426, 0.351293, 0.101306, 0.165945, 0.259412, 0.233087, 0.029596, 0.480708, 0.17113, 0.181424]","[0.41294812, 0.4534615, 0.48087559, 0.58953948, 0.25166798, 0.24969672, 0.25734765, 0.22544229, 0.17122175, 0.44605811, 0.15727785, 18.44444444, 16.44444444, 0.20590086, 0.73427327, 1550.0, 2402500.0, 0.0, 51.0, 0.70588235, 0.17524378, 0.02238267, 0.0, 0.0, 36.0, 5.7504902, 0.35518059, 0.29306381, 1.09004093, 1.54007493, 1.0, 0.10586283, 1.0, 0.29534978, 0.09215398, 1.0, 0.0, 3.0, 0.70588235, 0.83384835, 0.00069436, 0.0, 0.08065984, 0.05555556, 0.0, 0.50704225, 0.20689655, 0.1618277, 0.20150268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.04821662, 1.197739, 4.0, 3.0]","[0.184527, -0.939221, 0.0, -0.537695, 0.103047, 0.874258, -0.847952, 0.181842, -0.879878, 0.636832, 0.950834, 0.34554, -0.619187, -0.896179, 0.836763, 0.575876]","[-0.486856, -0.05589, 0.0, 0.471391, -0.526929, 0.107596, -0.088888, 0.363852, -0.077589, -0.542715, 0.082085, -0.592069, 0.469098, -0.077516, 0.064269, -0.501012]"
Iwata Gyousho Std Bold,IWATA,Iwata Gyousho Std,"[0.058729, 0.048541, 0.161867, 0.091292, 0.10558, 0.173921, 0.004794, 0.164135, 0.210322, 0.045073, 0.058349, 0.297555, 0.378166, 0.326531, 0.092815, 0.45648, 0.115373, 0.232196, 0.100312, 0.057523, 0.023022, 0.405013, 0.154575, 0.131958]","[0.38811912, 0.44697743, 0.48121187, 0.56374809, 0.23092635, 0.24476994, 0.32506842, 0.20351093, 0.25048363, 0.40412814, 0.14187731, 18.88888889, 16.55555556, 0.16927294, 0.40009751, 1693.0, 2866249.0, 0.0, 50.5, 0.7527451, 0.29568883, 0.04357842, 4.0, 0.0, 38.0, 7.93366013, 0.28675614, 0.29425297, 1.0657835, 0.48978049, 1.0, 0.05924452, 1.0, 0.32725649, 0.07557998, 1.0, -17.0, 2.0, 0.73359073, 0.80891192, 0.02097345, 0.6, 0.1913548, 0.26315789, -11.30993249, 0.50684932, 0.475, 0.14693172, 0.1031746, 0.0, 0.0, 0.78539816, 0.0, 0.0, 0.98279372, 0.97490347, 0.0, 0.03158417, 1.601143, 5.0, 3.0]","[0.307441, 0.699285, 0.0, -0.236485, 0.368297, -0.536193, 0.644891, -0.280124, 0.687759, 0.36741, -0.540876, 0.451367, -0.292746, 0.618447, -0.678774, 0.337383]","[-0.131364, 0.395033, 0.0, 0.231932, -0.117549, -0.226093, 0.27974, -0.045833, 0.343569, -0.286822, -0.345417, -0.178141, 0.22662, 0.270272, -0.363823, -0.221561]"
Iwata Maru Gothic Std Light,IWATA,Iwata Maru Gothic Std,"[0.070426, 0.067001, 0.165496, 0.055551, 0.04593, 0.147854, 0.116585, 0.158094, 0.161019, 0.041362, 0.077393, 0.140655, 0.221134, 0.212363, 0.267902, 0.215129, 0.087691, 0.138996, 0.266413, 0.249997, 0.04574, 0.491574, 0.257516, 0.401899]","[0.28391251, 0.44289236, 0.47736501, 0.59685748, 0.25852462, 0.25940697, 0.25923987, 0.21832378, 0.16453871, 0.45376436, 0.16337315, 18.22222222, 19.11111111, 0.15683863, 0.70318678, 1581.0, 2499561.0, 0.0, 56.0, 0.73214286, 0.16854389, 0.01521838, 0.0, 0.0, 41.0, 3.95294118, 0.29427467, 0.2072419, 1.11880165, 1.30679581, 1.0, 0.0457366, 1.0, 0.29870749, 0.11235501, 1.0, 0.0, 3.0, 0.73214286, 0.68046762, 0.0006918, 0.0, 0.06090643, 0.12195122, 0.0, 0.52564103, 0.25806452, 0.18144611, 0.2784254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.00610079, 1.515697, 3.0, 2.0]","[0.218244, -0.33235, 0.0, -0.258139, 0.204777, -0.012888, 0.095827, -0.104074, 0.030982, 0.320002, 0.272396, 0.25698, -0.258298, -0.090211, 0.017716, 0.328129]","[-0.373856, 0.287615, 0.0, 0.411975, -0.372819, -0.220271, 0.241771, 0.181098, 0.250168, -0.456737, -0.282408, -0.438192, 0.416365, 0.243219, -0.275615, -0.429654]"
Iwata Fuku Marugo StdN Light,IWATA,Iwata Fuku Marugo,"[0.146782, 0.069851, 0.249755, 0.049105, 0.043504, 0.165914, 0.093183, 0.190122, 0.115622, 0.0378, 0.075219, 0.137866, 0.202901, 0.294539, 0.236983, 0.245344, 0.143081, 0.148219, 0.203468, 0.231064, 0.04037, 0.380493, 0.210871, 0.471908]","[0.25542116, 0.43425964, 0.48482547, 0.60248056, 0.25690221, 0.26079407, 0.26011693, 0.228102, 0.17056539, 0.45992157, 0.14141104, 19.0, 18.11111111, 0.1504247, 0.68327677, 1348.0, 1817104.0, 0.0, 51.5, 0.6408371, 0.1127386, 0.02256559, 0.0, 0.0, 33.0, 3.23257919, 0.23459108, 0.19706314, 1.14369501, 0.95870347, 1.0, 0.04415126, 1.0, 0.28656807, 0.12270153, 1.0, 0.0, 3.0, 0.62977099, 0.66083814, 0.0, 0.0, 0.08007183, 0.3030303, -12.52880772, 0.52380952, 0.47826087, 0.21691352, 0.26791898, 0.0, 0.83142857, 0.0, 0.0, 0.0, 0.0, 0.98282443, 0.0, 0.0, 1.442642, 3.0, 2.0]","[0.086615, -0.822062, 0.0, -0.289345, 0.06777, 0.632474, -0.450422, 0.095881, -0.606112, 0.473126, 0.863255, 0.27269, -0.414491, -0.679158, 0.263096, 0.456066]","[-0.218204, 0.3263, 0.0, 0.306778, -0.217261, -0.285957, 0.291205, 0.076916, 0.305904, -0.39296, -0.333592, -0.318636, 0.314726, 0.378988, -0.337807, -0.30654]"
Iwata Fuku Marugo StdN Bold,IWATA,Iwata Fuku Marugo,"[0.157417, 0.037439, 0.207963, 0.063599, 0.075731, 0.147329, 0.024517, 0.200584, 0.269256, 0.038252, 0.228109, 0.199405, 0.280414, 0.273534, 0.248209, 0.467346, 0.177741, 0.166534, 0.256808, 0.189185, 0.006729, 0.307226, 0.059274, -0.00204]","[0.49716583, 0.45634211, 0.4880242, 0.57283837, 0.23838205, 0.2462179, 0.27727979, 0.24332838, 0.17147505, 0.43181233, 0.15338424, 18.22222222, 16.22222222, 0.21886819, 0.54627957, 1574.0, 2477476.0, 0.0, 57.5, 0.64352692, 0.12052127, 0.03287757, 0.0, 0.0, 37.0, 10.20422323, 0.3599738, 0.42739267, 1.04347553, 0.78511498, 1.0, 0.17394825, 1.0, 0.29831302, 0.06386834, 1.0, 0.0, 3.0, 0.64236111, 0.84800181, 0.0001174, 0.0, 0.15830294, 0.16216216, -10.30484648, 0.51351351, 0.45454545, 0.19615856, 0.16182171, 3.32941176, 1.04105322, 0.98279372, 0.00482348, 0.00802002, 1.43373015, 0.99826389, 0.0, 0.0, 1.151842, 7.0, 4.0]","[0.344419, 0.278039, 0.0, -0.266838, 0.401551, -0.31732, 0.416301, -0.269962, 0.419386, 0.303809, -0.269956, 0.445192, -0.251245, 0.308246, -0.349443, 0.323813]","[-0.266178, 0.667701, 0.0, 0.382843, -0.225904, -0.521344, 0.568703, -0.033127, 0.58262, -0.392441, -0.63365, -0.28294, 0.388047, 0.54751, -0.625234, -0.379303]"
Heisei Kaku Gothic N W5,Adobe,Heisei Kaku Gothic N,"[0.204485, 0.055049, 0.240525, 0.064415, 0.226757, 0.104719, 0.043194, 0.212062, 0.16785, 0.037033, 0.172318, 0.185389, 0.208448, 0.18162, 0.274159, 0.338144, 0.151158, 0.161964, 0.226906, 0.299112, 0.034206, 0.471637, 0.10186, 0.019055]","[0.46329063, 0.45208435, 0.4817609, 0.60264686, 0.24153698, 0.25411344, 0.2114307, 0.244442, 0.13250024, 0.51041232, 0.11264544, 17.66666667, 14.77777778, 0.20965393, 0.68123129, 1472.0, 2166784.0, 0.0, 56.5, 0.71679198, 0.14788147, 0.02931791, 0.0, 0.0, 40.5, 8.35686275, 0.38164857, 0.40206465, 1.19215686, 1.13110091, 1.0, 0.10203139, 1.0, 0.26105811, 0.05084202, 1.0, 0.0, 1.0, 0.70804196, 0.80901913, 0.00134449, 0.0, 0.03769533, 0.24691358, 0.0, 0.525, 0.45238095, 0.17095588, 0.21240794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.98776224, 0.0, 0.0, 1.434763, 5.0, 4.0]","[0.205226, -0.772519, 0.0, -0.489023, 0.147199, 0.738975, -0.75149, 0.071793, -0.761092, 0.515715, 0.746112, 0.286226, -0.476969, -0.76651, 0.798127, 0.386592]","[-0.01329, -0.341403, 0.0, -0.042865, -0.042197, 0.304814, -0.312534, 0.068909, -0.271303, -0.013045, 0.321377, -0.049244, -0.04665, -0.281899, 0.291607, 0.02456]"
Heisei Mincho W5,Adobe,Heisei Mincho,"[0.09537, 0.062942, 0.311311, 0.05989, 0.283909, 0.177523, 0.073331, 0.319469, 0.155807, 0.042827, 0.073341, 0.189353, 0.055652, 0.256212, 0.276054, 0.280422, 0.101291, 0.167997, 0.235775, 0.117948, 0.047605, 0.416838, 0.248082, 0.17438]","[0.32559722, 0.45760393, 0.49292093, 0.55990261, 0.22446069, 0.26585453, 0.24208926, 0.2935323, 0.14480415, 0.42216533, 0.13949822, 19.88888889, 16.33333333, 0.14495521, 0.40140533, 1403.0, 1968409.0, 1.375, 52.5, 0.68559507, 0.13808758, 0.0418044, 0.0, 0.0, 36.0, 6.78039216, 0.20245628, 0.31956328, 2.30718954, 0.27363554, 1.0, 0.03469126, 1.0, 0.27753229, 0.19754892, 0.99964346, 0.0, 3.0, 0.68181818, 0.78725819, 0.0029543, 0.0, 0.1023513, 0.25, 0.0, 0.51388889, 0.40625, 0.19459707, 0.2700157, 4.07829568, 0.90666121, 0.23109067, 0.01132472, 0.13592345, 0.65284663, 0.99431818, 0.37211329, 0.0232395, 2.857155, 4.0, 2.0]","[0.162944, -0.774948, 0.0, -0.300661, 0.125105, 0.631747, -0.68012, 0.07248, -0.70492, 0.348571, 0.741579, 0.225583, -0.30905, -0.710054, 0.733712, 0.287223]","[0.236733, -0.766271, 0.0, -0.407166, 0.196847, 0.70748, -0.725863, 0.034521, -0.728952, 0.433821, 0.763641, 0.282787, -0.410722, -0.74072, 0.759951, 0.374149]"
Iwata Maru Gothic Pro Light,IWATA,Iwata Maru Gothic Pro,"[0.070426, 0.067001, 0.165496, 0.055551, 0.04593, 0.147854, 0.116585, 0.158094, 0.161019, 0.041362, 0.077393, 0.140655, 0.221134, 0.212363, 0.267902, 0.215129, 0.087691, 0.138996, 0.266413, 0.249997, 0.04574, 0.491574, 0.257516, 0.401899]","[0.28391251, 0.44289236, 0.47736501, 0.59685748, 0.25852462, 0.25940697, 0.25923987, 0.21832378, 0.16453871, 0.45376436, 0.16337315, 18.22222222, 19.11111111, 0.15683863, 0.70318678, 1581.0, 2499561.0, 0.0, 56.0, 0.73214286, 0.16854389, 0.01521838, 0.0, 0.0, 41.0, 3.95294118, 0.29427467, 0.2072419, 1.11880165, 1.30679581, 1.0, 0.0457366, 1.0, 0.29870749, 0.11235501, 1.0, 0.0, 3.0, 0.73214286, 0.68046762, 0.0006918, 0.0, 0.06090643, 0.12195122, 0.0, 0.52564103, 0.25806452, 0.18144611, 0.2784254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.00610079, 1.515697, 3.0, 2.0]","[0.218244, -0.33235, 0.0, -0.258139, 0.204777, -0.012888, 0.095827, -0.104074, 0.030982, 0.320002, 0.272396, 0.25698, -0.258298, -0.090211, 0.017716, 0.328129]","[-0.373856, 0.287615, 0.0, 0.411975, -0.372819, -0.220271, 0.241771, 0.181098, 0.250168, -0.456737, -0.282408, -0.438192, 0.416365, 0.243219, -0.275615, -0.429654]"
Iwata Kyokasyo Std Light,IWATA,Iwata Kyokasyo Std,"[0.089611, 0.066236, 0.194605, 0.055668, 0.047994, 0.150568, 0.105993, 0.182606, 0.140737, 0.041233, 0.082907, 0.144139, 0.199944, 0.255178, 0.266788, 0.245796, 0.073962, 0.138282, 0.267954, 0.269998, 0.044891, 0.440963, 0.271977, 0.38922]","[0.30894133, 0.44615585, 0.48018871, 0.59524508, 0.25958088, 0.25727952, 0.24970124, 0.23475823, 0.16498236, 0.46175026, 0.13850915, 18.33333333, 18.22222222, 0.1738339, 0.83216501, 1469.0, 2157961.0, 0.0, 48.0, 0.72916667, 0.16040786, 0.01791553, 0.0, 0.0, 35.0, 3.74313725, 0.28566331, 0.20864278, 1.06666667, 1.81113326, 1.0, 0.05014363, 1.0, 0.29578329, 0.10704317, 1.0, 0.0, 3.0, 0.72916667, 0.74513132, 0.0003513, 0.0, 0.04704154, 0.11428571, 0.0, 0.51470588, 0.1, 0.17121212, 0.25638158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.03814617, 1.486695, 3.0, 2.0]","[0.387735, -0.84058, 0.0, -0.628382, 0.343459, 0.73091, -0.702024, -0.04433, -0.755206, 0.691653, 0.831032, 0.537481, -0.651526, -0.774722, 0.649055, 0.650641]","[-0.301555, -0.162498, 0.0, 0.25889, -0.330432, 0.161843, -0.158473, 0.245013, -0.163347, -0.300753, 0.165343, -0.360922, 0.257706, -0.167064, 0.154743, -0.289005]"
